asn,network_provider,domain,route,type,country
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,118.24.108.0/22,hosting,124
AS38365,Beijing Baidu Netcom Science and Technology Co.,cnnic.cn,180.76.52.0/23,hosting,124
AS14061,DigitalOcean,digitalocean.com,68.183.0.0/20,hosting,182
AS15169,Google LLC,google.com,34.68.0.0/14,hosting,211
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,49.234.80.0/20,isp,124
AS14061,DigitalOcean,digitalocean.com,139.59.160.0/20,hosting,183
AS14061,DigitalOcean,digitalocean.com,178.128.80.0/20,hosting,130
AS14061,DigitalOcean,digitalocean.com,134.209.224.0/20,hosting,177
AS7552,Viettel Group,viettel.com.vn,115.78.0.0/21,isp,133
AS14061,DigitalOcean,digitalocean.com,139.59.128.0/19,hosting,177
AS9318,None,None,114.200.0.0/13,isp,125
AS9304,HGC Global Communications Limited,hgc.com.hk,113.254.0.0/18,isp,134
AS9318,None,None,221.140.0.0/14,isp,125
 None, None, None, None, None,202
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,193.112.120.0/21,hosting,124
AS16284,Vodacom Business Africa (Nigeria) Limited,vodacom.com.ng,155.93.106.0/24,hosting,231
AS59050,Beijing Cloud-Ark Technology Co.,cnnic.cn,119.254.0.0/20,isp,124
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,134.175.96.0/20,hosting,124
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,49.233.192.0/20,isp,124
AS14061,DigitalOcean,digitalocean.com,192.241.128.0/19,hosting,211
AS4134,Jin-rong Street,None,14.112.0.0/12,isp,124
AS34192,ZAO TRANSITEC,transitec.ru,195.95.215.0/24,isp,185
AS26223,Silver Star Communications,silverstar.com,199.192.124.0/22,isp,211
AS15169,Google LLC,google.com,34.80.0.0/14,hosting,127
AS3786,LG DACOM Corporation,uplus.co.kr,123.140.0.0/14,isp,125
AS132203,Tencent Building, tencent.com,119.28.6.0/23,hosting,134
AS16509,Amazon.com,amazon.com,13.232.0.0/14,hosting,128
AS24309,Atria Convergence Technologies Pvt. Ltd.Broadband Internet Service Provider INDIA,actcorp.in,183.82.34.0/24,isp,128
AS134774,CHINANET Guangdong province Shenzhen MAN network,None,119.123.0.0/17,isp,124
AS132280,Symphony Communication (Thailand) PCL.,symphony.net.th,161.82.160.0/19,isp,131
AS16276,OVH SAS,ovh.com,198.100.144.0/20,hosting,210
AS56040,China Mobile communications corporation,chinamobileltd.com,120.237.0.0/16,isp,124
AS17974,PT Telekomunikasi Indonesia,telkom.co.id,203.130.224.0/19,hosting,132
AS18002,AS Number for Interdomain Routing,cisco.com,114.69.232.0/24,isp,128
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,111.231.120.0/22,hosting,124
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,129.204.240.0/20,hosting,124
AS9808,Guangdong Mobile Communication Co.Ltd.,chinamobile.com,117.176.0.0/16,isp,124
AS133774,Fuzhou,fuzhou.gov.cn,103.236.252.0/22,gov,124
AS38365,Beijing Baidu Netcom Science and Technology Co.,cnnic.cn,106.12.92.0/23,hosting,124
AS132422,Hong Kong Telecom Global Data Centre,31.com.hk,43.229.153.0/24,hosting,134
AS4134,Jin-rong Street,None,222.240.0.0/13,isp,124
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,152.136.148.0/22,hosting,124
AS7552,Viettel Group,viettel.com.vn,116.97.0.0/17,isp,133
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,140.143.0.0/20,hosting,124
AS13489,EPM Telecomunicaciones S.A. E.S.P.,tigo.com.co,181.128.0.0/12,isp,167
AS24940,Hetzner Online GmbH,hetzner.de,178.63.0.0/16,hosting,177
AS58224,Iran Telecommunication Company PJS,tci.ir,217.219.244.0/22,isp,140
AS14080,Telmex Colombia S.A.,telmexla.net.co,190.144.64.0/19,isp,167
AS59454,CONSORTIUM APPS LTD,None,91.241.59.0/24,business,185
AS16735,ALGAR TELECOM S/A,algartelecom.com.br,201.48.0.0/17,isp,166
AS3462,Data Communication Business Group,cht.com.tw,61.218.0.0/16,isp,127
AS20632,PJSC MegaFon,megafon.com,212.119.160.0/19,isp,185
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,203.195.210.0/23,hosting,124
AS10481,Telecom Argentina S.A.,telecom.com.ar,200.89.144.0/20,isp,169
AS4134,Jin-rong Street,None,61.133.224.0/19,isp,124
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,58.87.88.0/22,hosting,124
AS10796,Charter Communications Inc,spectrum.com,71.72.0.0/15,isp,211
AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,113.56.0.0/15,isp,124
AS28310,SMART TELECOMUNICACOES E SERVICOS EIRELLI EPP,smart.net.br,189.39.120.0/21,isp,166
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,58.87.76.0/22,hosting,124
AS49301,Closed Joint Stock Company TransTeleCom,ttk.ru,5.8.192.0/22,isp,185
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,192.144.192.0/18,hosting,124
AS197637,ropa GmbH & Co. KG,ropa.de,185.68.76.0/22,hosting,177
AS8641,LLC Nauka-Svyaz,naukanet.ru,213.135.64.0/19,isp,185
AS9498,BHARTI Airtel Ltd.,airtel.in,182.71.111.0/24,isp,128
AS14117,Telefonica del Sur S.A.,telsur.cl,190.13.173.0/24,isp,168
AS14061,DigitalOcean,digitalocean.com,165.227.0.0/20,hosting,211
AS11556,Cable & Wireless Panama,cwpanama.com,190.32.0.0/16,isp,212
AS28573,CLARO S.A.,claro.com.br,189.7.80.0/21,isp,166
AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,220.195.0.0/19,isp,124
AS23969,TOT Public Company Limited,tot.co.th,113.53.29.0/24,isp,131
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,152.136.32.0/19,hosting,124
AS17488,Hathway IP Over Cable Internet,hathway.com,116.74.4.0/22,isp,128
AS18881,TELEFONICA BRASIL S.A,telefonica.com.br,177.207.248.0/22,isp,166
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,111.231.116.0/22,hosting,124
AS55684,Universitas Sebelas Maret,uns.ac.id,203.6.149.0/24,edu,132
AS28573,CLARO S.A.,claro.com.br,179.235.64.0/19,isp,166
AS35916,MULTACOM CORPORATION,multacom.com,154.213.0.0/16,isp,134
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,152.136.212.0/22,hosting,124
AS14080,Telmex Colombia S.A.,telmexla.net.co,181.48.128.0/19,isp,167
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,134.175.176.0/20,hosting,124
AS63612,Shenzhen Qianhai bird cloud computing Co. Ltd.,cnnic.cn,103.45.150.0/24,hosting,124
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,118.25.52.0/22,hosting,124
AS14061,DigitalOcean,digitalocean.com,206.189.64.0/20,hosting,211
AS8075,Microsoft Corporation,microsoft.com,13.64.0.0/11,hosting,211
AS23724, China Telecommunications Corporation,None,114.67.224.0/19,hosting,124
AS14061,DigitalOcean,digitalocean.com,192.241.192.0/19,hosting,211
AS16629,CTC. CORP S.A. (TELEFONICA EMPRESAS),None,190.171.128.0/18,isp,168
AS4134,Jin-rong Street,None,218.89.0.0/16,isp,124
AS267529,KNS DE PINHO TELECOMUNICACOES,None,201.182.180.0/22,hosting,166
AS9198,JSC Kazakhtelecom,telecom.kz,93.95.240.0/21,hosting,148
AS4134,Jin-rong Street,None,114.96.0.0/13,isp,124
AS134548,DXTL Tseung Kwan O Service,None,156.226.0.0/16,isp,221
AS5588,T-Mobile Czech Republic a.s.,t-mobile.cz,195.70.32.0/19,isp,199
AS14061,DigitalOcean,digitalocean.com,68.183.16.0/20,hosting,211
AS4808,China Unicom Beijing Province Network,chinaunicom.com,111.207.64.0/18,isp,124
AS14618,Amazon.com,amazon.com,23.20.0.0/15,hosting,211
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,118.25.20.0/22,hosting,124
AS13354,zColo,zayo.com,198.154.96.0/19,isp,211
AS4134,Jin-rong Street,None,218.75.0.0/17,isp,124
AS38365,Beijing Baidu Netcom Science and Technology Co.,cnnic.cn,180.76.158.0/23,hosting,124
AS7713,PT Telekomunikasi Indonesia,telkom.co.id,36.74.128.0/20,isp,132
AS262459,Osirnet Info Telecom Ltda.,osirnet.com.br,132.255.144.0/22,isp,166
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,129.211.0.0/18,hosting,124
AS27699,TELEFONICA BRASIL S.A,telefonica.com.br,201.0.0.0/17,isp,166
AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,42.224.0.0/12,isp,124
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,111.231.192.0/19,hosting,124
AS5384,Emirates Telecommunications Corporation,etisalat.com,194.170.128.0/18,isp,137
AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,61.55.0.0/16,isp,124
AS18403,The Corporation for Financing & Promoting Technology,fpt.com.vn,118.71.160.0/20,isp,133
AS38365,Beijing Baidu Netcom Science and Technology Co.,cnnic.cn,106.12.144.0/23,hosting,124
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,193.112.96.0/20,hosting,124
AS24309,Atria Convergence Technologies Pvt. Ltd.Broadband Internet Service Provider INDIA,actcorp.in,106.51.98.0/24,isp,128
AS51167,Contabo GmbH,contabo.de,193.34.144.0/23,hosting,177
AS17451,BIZNET NETWORKS,biznetnetworks.com,182.253.251.0/24,isp,132
AS14061,DigitalOcean,digitalocean.com,138.197.16.0/20,hosting,211
AS7713,PT Telekomunikasi Indonesia,telkom.co.id,180.250.124.0/24,isp,132
AS15169,Google LLC,google.com,34.88.0.0/14,hosting,182
AS39435,JSC ER-Telecom Holding,ertelecom.ru,188.233.24.0/22,isp,185
AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,221.13.128.0/17,isp,124
AS35916,MULTACOM CORPORATION,multacom.com,154.202.0.0/16,isp,211
AS267285,ANDRE PEREIRA DA COSTA,None,45.232.244.0/24,isp,166
AS9121,Turk Telekomunikasyon Anonim Sirketi,turktelekom.com.tr,212.156.128.0/17,isp,149
AS38511,PT Remala Abadi,tachyon.net.id,101.255.9.0/24,isp,132
AS4808,China Unicom Beijing Province Network,chinaunicom.com,114.246.32.0/20,isp,124
AS3141,Benemerita Universidad Autonoma de Puebla,buap.mx,148.228.0.0/16,edu,214
AS12083,WideOpenWest Finance LLC,wowway.com,69.47.160.0/21,isp,211
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,212.129.128.0/20,hosting,124
AS58080,Honar Rayaneh Pooya Andisheh PJSC,hoor.ir,212.33.199.0/24,isp,140
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,49.234.16.0/20,isp,124
AS5650,Frontier Communications of America,frontier.com,47.180.0.0/16,isp,211
AS262186,TV AZTECA SUCURSAL COLOMBIA,aztecacomunicaciones.com,191.102.72.0/24,isp,167
AS4816,China Telecom (Group),chinatelecom-h.com,59.36.160.0/20,isp,124
AS7552,Viettel Group,viettel.com.vn,171.232.240.0/21,isp,133
AS7560,None,None,203.254.128.0/19,isp,125
AS15169,Google LLC,google.com,34.80.0.0/14,hosting,211
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,140.143.236.0/22,hosting,124
AS267251,TELEFONARNET TELECOMUNICACOES EIRELI,telefonarnet.com.br,45.232.73.0/24,isp,166
AS14080,Telmex Colombia S.A.,telmexla.net.co,190.85.32.0/19,isp,167
AS9299,Philippine Long Distance Telephone Company,pldt.com,122.54.96.0/19,isp,126
AS29550,Simply Transit Ltd,simplytransit.net,151.236.32.0/19,hosting,183
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,118.89.26.0/23,hosting,124
AS4812,China Telecom (Group),chinatelecom-h.com,101.227.0.0/16,isp,124
AS38666,None,None,124.137.204.0/22,isp,125
AS7552,Viettel Group,viettel.com.vn,115.77.184.0/21,isp,133
AS6713,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,iam.ma,81.192.0.0/20,hosting,227
AS33363,Charter Communications Inc,spectrum.com,24.172.172.0/23,isp,211
AS5650,Frontier Communications of America,frontier.com,47.188.0.0/16,isp,211
AS131293,TOT Public Company Limited,tot.co.th,180.180.241.0/24,isp,131
AS14061,DigitalOcean,digitalocean.com,142.93.64.0/20,hosting,211
AS58563,CHINANET Hubei province network,None,119.96.188.0/22,isp,124
AS14061,DigitalOcean,digitalocean.com,45.55.128.0/18,hosting,211
AS16276,OVH SAS,ovh.com,51.68.0.0/16,hosting,211
AS25820,IT7 Networks Inc,it7.net,162.211.224.0/22,hosting,211
AS45629,JasTel Network International Gateway,jastel.co.th,223.206.128.0/17,isp,131
AS14061,DigitalOcean,digitalocean.com,104.248.224.0/20,hosting,211
AS14061,DigitalOcean,digitalocean.com,46.101.96.0/19,hosting,177
AS20746,Telecom Italia S.p.A.,tim.it,156.54.164.0/24,isp,176
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,118.24.44.0/22,hosting,124
AS18403,The Corporation for Financing & Promoting Technology,fpt.com.vn,42.118.121.0/24,isp,133
AS24138,China Tietong Telecommunication Corporation,chinatietong.com,124.207.64.0/18,isp,124
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,148.70.208.0/20,isp,124
AS8151,Uninet S.A. de C.V.,pan.org.mx,189.178.0.0/19,isp,214
AS2860,NOS COMUNICACOES,nos.pt,81.84.192.0/18,isp,180
AS5413,Daisy Communications Ltd,daisygroup.com,195.224.0.0/16,isp,183
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,212.64.64.0/20,isp,124
AS2856,British Telecommunications PLC,btplc.com,81.128.0.0/12,isp,183
AS21219,PRIVATE JOINT STOCK COMPANY DATAGROUP,datagroup.ua,77.222.128.0/21,isp,179
AS5607,Sky UK Limited,sky.com,94.0.0.0/12,isp,183
AS4134,Jin-rong Street,None,218.75.128.0/17,isp,124
AS8075,Microsoft Corporation,microsoft.com,168.62.0.0/15,hosting,211
AS24186,RailTel Corporation of India Ltd New Delhi,railtelindia.com,103.76.211.0/24,isp,128
 None, None, None, None, None,179
AS15169,Google LLC,google.com,34.92.0.0/14,hosting,128
AS263165,MARVITEL TELECOM,marvitel.com.br,191.52.248.0/23,hosting,166
AS9498,BHARTI Airtel Ltd.,airtel.in,182.75.0.0/16,isp,128
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,212.64.96.0/20,isp,124
AS24560,Bharti Airtel Telemedia Services,airtel.in,122.165.128.0/17,isp,128
AS58400,Universitas Negeri Semarang,unnes.ac.id,103.23.100.0/24,edu,132
AS15802,Emirates Integrated Telecommunications Company PJSC (EITC-DU),du.ae,91.72.192.0/19,isp,137
AS14061,DigitalOcean,digitalocean.com,68.183.112.0/20,hosting,211
AS23724, China Telecommunications Corporation,None,36.112.148.0/24,isp,124
AS15557,SFR SA,alticefrance.com,37.64.0.0/13,isp,175
AS46573,Global Frag Networks,globalfrag.com,104.223.143.0/24,hosting,211
AS18403,The Corporation for Financing & Promoting Technology,fpt.com.vn,42.112.211.0/24,isp,133
AS4134,Jin-rong Street,None,36.16.0.0/12,isp,124
AS55410,Vodafone Idea Ltd,vodafoneidea.com,123.63.160.0/21,isp,128
AS14061,DigitalOcean,digitalocean.com,165.22.208.0/20,hosting,128
AS12876,ONLINE S.A.S.,online.net,195.154.0.0/16,hosting,175
AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,58.22.0.0/15,isp,124
AS3758,SingNet,singnet.com.sg,118.201.65.0/24,isp,130
AS17451,BIZNET NETWORKS,biznetnetworks.com,118.99.108.0/23,isp,132
AS14061,DigitalOcean,digitalocean.com,159.89.192.0/20,hosting,130
AS7713,PT Telekomunikasi Indonesia,telkom.co.id,180.249.164.0/22,isp,132
AS7713,PT Telekomunikasi Indonesia,telkom.co.id,125.167.144.0/22,isp,132
AS22769,DDOSING NETWORK,digitalattackmap.com,154.90.1.0/24,isp,211
AS38365,Beijing Baidu Netcom Science and Technology Co.,cnnic.cn,180.76.134.0/23,hosting,124
AS38365,Beijing Baidu Netcom Science and Technology Co.,cnnic.cn,180.76.50.0/23,hosting,124
AS8075,Microsoft Corporation,microsoft.com,137.116.0.0/15,hosting,130
AS7713,PT Telekomunikasi Indonesia,telkom.co.id,110.136.216.0/22,isp,132
AS10620,Telmex Colombia S.A.,telmexla.net.co,181.58.120.0/24,isp,167
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,193.112.64.0/19,hosting,124
AS137687,Wuhu,wuhu.gov.cn,36.99.32.0/20,gov,124
AS41717,Telfly Technology Limited,telfly.net,45.195.61.0/24,isp,134
AS18881,TELEFONICA BRASIL S.A,telefonica.com.br,177.43.32.0/19,isp,166
AS25540,Alphalink SASU,alphalink.fr,185.142.188.0/22,isp,175
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,123.206.32.0/20,hosting,124
AS38365,Beijing Baidu Netcom Science and Technology Co.,cnnic.cn,180.76.100.0/23,hosting,124
AS132754,Realtel Network Services Pvt Ltd,realtrl.in,103.248.33.0/24,isp,128
AS14061,DigitalOcean,digitalocean.com,159.203.0.0/18,hosting,210
AS11432,Telium Telecomunicacoes Ltda,telium.com.br,200.170.250.0/24,isp,166
AS16509,Amazon.com,amazon.com,13.125.0.0/16,hosting,125
AS14061,DigitalOcean,digitalocean.com,178.128.112.0/20,hosting,130
AS12322,Free SAS,sas.com,81.56.0.0/15,isp,175
AS61317,Digital Energy Technologies Ltd.,det.global,193.7.200.0/24,hosting,211
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,118.25.60.0/22,hosting,124
AS265741,GPS SANJUAN SRL.,gpscom.com.ar,45.172.108.0/22,isp,169
AS38365,Beijing Baidu Netcom Science and Technology Co.,cnnic.cn,106.13.4.0/23,hosting,124
AS3356,Level 3 Parent,level3.com,62.67.0.0/16,isp,177
AS10620,Telmex Colombia S.A.,telmexla.net.co,186.85.159.0/24,isp,167
AS138062,PT. Awan Kilat Semesta,paas.id,103.129.221.0/24,business,132
AS39501,Parvaresh Dadeha Co. Private Joint Stock,dpco.net,89.165.0.0/18,isp,140
AS14061,DigitalOcean,digitalocean.com,174.138.64.0/20,hosting,211
AS18403,The Corporation for Financing & Promoting Technology,fpt.com.vn,118.69.80.0/20,isp,133
AS19527,Google LLC,google.com,34.120.0.0/14,hosting,211
AS135377,UCloud (HK) Holdings Group Limited,ucloud.cn,128.14.227.0/24,isp,127
AS45899,VNPT Corp,vnptcorp.com,123.31.45.0/24,isp,133
AS137443,Anchnet Asia Limited,anchnet.com,103.254.198.0/24,hosting,211
AS38761,PT. Sakti Putra Mandiri,saktiputramandiri.net.id,121.100.28.0/24,isp,132
AS25820,IT7 Networks Inc,it7.net,172.96.192.0/19,hosting,211
AS11664,Techtel LMDS Comunicaciones Interactivas S.A.,claro.com.ar,138.99.6.0/23,isp,169
AS135377,UCloud (HK) Holdings Group Limited,ucloud.cn,128.1.133.0/24,isp,134
AS3462,Data Communication Business Group,cht.com.tw,60.251.0.0/16,isp,127
AS4812,China Telecom (Group),chinatelecom-h.com,101.88.0.0/13,isp,124
AS4134,Jin-rong Street,None,106.92.0.0/16,isp,124
AS23969,TOT Public Company Limited,tot.co.th,1.0.248.0/21,isp,131
AS9808,Guangdong Mobile Communication Co.Ltd.,chinamobile.com,36.128.0.0/10,isp,124
AS2518,BIGLOBE Inc.,biglobe.co.jp,220.102.0.0/16,isp,129
AS9341,PT Indonesia Comnets Plus,iconpln.co.id,223.25.97.0/24,isp,132
AS14061,DigitalOcean,digitalocean.com,165.22.16.0/20,hosting,177
AS27651,ENTEL CHILE S.A.,entel.cl,152.231.107.0/24,isp,168
AS12874,Fastweb SpA,fastweb.it,2.232.0.0/13,isp,176
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,62.234.16.0/20,isp,124
AS264738,Sebastian Souto (SSSERVICIOS),ssservicios.com.ar,170.233.30.0/24,isp,169
AS4808,China Unicom Beijing Province Network,chinaunicom.com,103.93.181.0/24,isp,124
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,129.211.64.0/18,hosting,124
AS45899,VNPT Corp,vnptcorp.com,113.176.80.0/20,isp,133
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,132.232.0.0/20,hosting,124
AS14061,DigitalOcean,digitalocean.com,206.189.16.0/20,hosting,183
AS17621,China Unicom Shanghai network,mychinaunicom.com,122.144.196.0/23,isp,124
AS14061,DigitalOcean,digitalocean.com,68.183.80.0/20,hosting,128
AS14061,DigitalOcean,digitalocean.com,165.22.96.0/20,hosting,130
AS4134,Jin-rong Street,None,119.96.0.0/13,isp,124
AS135953,Vietnam Online Network Solution Joint Stock Compnay,vnnic.vn,103.130.212.0/22,hosting,133
AS17974,PT Telekomunikasi Indonesia,telkom.co.id,36.66.0.0/16,hosting,132
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,118.25.56.0/22,hosting,124
AS41164,Telia Norge AS,telia.no,84.214.0.0/17,isp,200
AS263482,Megalink Servicos Ltda,megalink.net.br,191.242.216.0/22,isp,166
AS9341,PT Indonesia Comnets Plus,iconpln.co.id,103.76.175.0/24,isp,132
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,154.8.160.0/19,hosting,124
AS33363,Charter Communications Inc,spectrum.com,108.188.0.0/14,isp,211
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,140.143.244.0/22,hosting,124
AS43350,NForce Entertainment B.V.,nforce.com,185.53.130.0/24,hosting,182
AS7552,Viettel Group,viettel.com.vn,117.4.240.0/20,isp,133
AS137702,ChiZhou,chizhou.gov.cn,180.96.32.0/19,gov,124
AS45899,VNPT Corp,vnptcorp.com,113.176.163.0/24,isp,133
AS44220,Parfumuri Femei.com SRL,parfumurifemei.com,45.14.148.0/22,hosting,186
AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,123.128.0.0/13,isp,124
AS45899,VNPT Corp,vnptcorp.com,14.190.32.0/20,isp,133
AS55410,Vodafone Idea Ltd,vodafoneidea.com,42.104.109.0/24,isp,128
AS38365,Beijing Baidu Netcom Science and Technology Co.,cnnic.cn,182.61.40.0/23,hosting,124
AS17465,Cable ISP in India,wikipedia.org,202.88.234.0/24,isp,128
AS25820,IT7 Networks Inc,it7.net,216.24.176.0/22,hosting,211
AS38365,Beijing Baidu Netcom Science and Technology Co.,cnnic.cn,106.12.146.0/23,hosting,124
AS7922,Comcast Cable Communications,comcast.com,76.96.0.0/11,isp,211
AS52228,Cable Tica,cabletica.com,152.231.140.0/23,isp,217
AS4788,TM Net Internet Service Provider,tm.com.my,175.139.192.0/18,isp,136
AS4788,TM Net Internet Service Provider,tm.com.my,202.188.0.0/19,isp,136
AS4812,China Telecom (Group),chinatelecom-h.com,116.247.64.0/19,isp,124
AS41018,OMNILANCE LTD,omnilance.com,195.189.227.0/24,hosting,179
AS14618,Amazon.com,amazon.com,100.24.0.0/13,hosting,211
AS7552,Viettel Group,viettel.com.vn,117.3.248.0/21,isp,133
AS14061,DigitalOcean,digitalocean.com,167.71.112.0/20,hosting,211
AS8048,CANTV Servicios Venezuela,cantv.com.ve,200.44.32.0/19,isp,172
AS45899,VNPT Corp,vnptcorp.com,14.187.64.0/20,isp,133
AS10620,Telmex Colombia S.A.,telmexla.net.co,186.147.35.0/24,isp,167
AS20776,Outremer Telecom,outremer-telecom.fr,217.175.171.0/24,isp,218
AS18403,The Corporation for Financing & Promoting Technology,fpt.com.vn,103.81.86.0/24,isp,133
AS23650,AS Number for CHINANET jiangsu province backbone,None,61.155.208.0/22,hosting,124
AS14061,DigitalOcean,digitalocean.com,67.207.80.0/20,hosting,211
AS23860,Alliance Broadband Services Pvt. Ltd.,alliancebroadband.co.in,144.48.227.0/24,isp,128
AS15169,Google LLC,google.com,34.64.0.0/14,hosting,188
AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,115.48.0.0/12,isp,124
AS135377,UCloud (HK) Holdings Group Limited,ucloud.cn,103.98.17.0/24,isp,127
AS38365,Beijing Baidu Netcom Science and Technology Co.,cnnic.cn,106.12.150.0/23,hosting,124
AS4755,TATA Communications formerly VSNL is Leading ISP,tatacommunications.com,14.141.60.0/23,isp,128
AS31034,Aruba S.p.A.,aruba.it,80.211.0.0/17,hosting,176
AS38700,None,None,49.247.0.0/17,hosting,125
AS14061,DigitalOcean,digitalocean.com,104.248.112.0/20,hosting,211
AS5607,Sky UK Limited,sky.com,90.192.0.0/11,isp,183
AS4808,China Unicom Beijing Province Network,chinaunicom.com,123.126.64.0/18,isp,124
AS14061,DigitalOcean,digitalocean.com,165.227.64.0/20,hosting,211
AS34718,LLC TEXNOPROSISTEM,tps.uz,89.236.192.0/18,isp,139
AS15525,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,meo.pt,62.28.0.0/16,isp,180
AS11014,CPS,cps.gov.ar,190.111.211.0/24,gov,169
AS14061,DigitalOcean,digitalocean.com,174.138.32.0/20,hosting,211
AS16276,OVH SAS,ovh.com,149.56.0.0/16,hosting,210
AS24309,Atria Convergence Technologies Pvt. Ltd.Broadband Internet Service Provider INDIA,actcorp.in,49.206.228.0/22,isp,128
AS14061,DigitalOcean,digitalocean.com,162.243.192.0/18,hosting,211
AS30722,Vodafone Italia S.p.A.,vodafone.it,109.116.32.0/19,isp,176
AS14061,DigitalOcean,digitalocean.com,45.55.32.0/19,hosting,211
AS132290,The Net,thenet.com.bd,103.140.83.0/24,isp,141
AS16276,OVH SAS,ovh.com,139.99.0.0/17,hosting,130
AS23724, China Telecommunications Corporation,None,106.75.96.0/19,hosting,124
AS38365,Beijing Baidu Netcom Science and Technology Co.,cnnic.cn,182.61.36.0/23,hosting,124
AS136342,Winux Communications Pvt. Ltd.,winuxsolutions.in,103.217.151.0/24,isp,128
AS35908,Krypt Technologies,krypt.com,67.198.205.0/24,hosting,211
AS27193,Skyriver Communications,oneringnetworks.com,66.146.160.0/20,isp,211
AS7552,Viettel Group,viettel.com.vn,27.75.184.0/21,isp,133
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,139.199.228.0/23,hosting,124
AS28573,CLARO S.A.,claro.com.br,189.7.24.0/21,isp,166
AS14061,DigitalOcean,digitalocean.com,139.59.0.0/18,hosting,128
AS22689,Sercomtel Participacoes S.A.,sercomtel.com.br,187.18.96.0/20,isp,166
AS24560,Bharti Airtel Telemedia Services,airtel.in,171.79.80.0/20,isp,128
AS3356,Level 3 Parent,level3.com,209.244.0.0/14,hosting,211
AS36423,San Juan Cable,sanjuancable.com,70.45.128.0/21,isp,219
AS7713,PT Telekomunikasi Indonesia,telkom.co.id,118.96.112.0/22,isp,132
AS17670,PT.Infokom Elektrindo,infokom.id,202.147.198.0/24,isp,132
AS14061,DigitalOcean,digitalocean.com,159.89.224.0/20,hosting,211
AS9808,Guangdong Mobile Communication Co.Ltd.,chinamobile.com,111.11.181.0/24,isp,124
AS138421,China Unicom,chinaunicom.com.hk,112.64.32.0/22,isp,124
AS16276,OVH SAS,ovh.com,54.36.0.0/16,hosting,175
AS4808,China Unicom Beijing Province Network,chinaunicom.com,125.35.64.0/18,isp,124
AS14061,DigitalOcean,digitalocean.com,159.65.160.0/20,hosting,211
AS26615,Tim Celular S.A.,tim.com.br,191.162.192.0/19,isp,166
AS13193,Nerim SAS,nerim.fr,171.25.208.0/22,isp,175
AS6568,Entel S.A. - EntelNet,entel.bo,181.115.144.0/20,isp,173
